Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Citroen,C3,0.82,Hatchback,0.14499914499914499,0.25,Diesel,Automatic,0.06712424849699399
Audi,A6,0.52,Sedan,0.0297990297990298,0.4583333333333333,Metan/Propan,Manual,0.02555110220440882
Ford,Fusion,0.84,Sedan,0.177999177999178,0.375,Hybrid,Automatic,0.09108216432865732
Toyota,Prius,0.86,Sedan,0.13999913999914,0.125,Plug-in Hybrid,Automatic,0.11022044088176353
Volkswagen,Vento,0.44,Sedan,0.2999992999993,0.3333333333333333,Petrol,Manual,0.01503006012024048
Renault,Captur,0.92,Crossover,0.128999128999129,0.2708333333333333,Diesel,Automatic,0.10811623246492987
Lexus,CT Series,0.82,Hatchback,0.192999192999193,0.3333333333333333,Hybrid,Automatic,0.10771543086172344
Volvo,XC60,0.78,SUV,0.201999201999202,0.4583333333333333,Diesel,Automatic,0.14579158316633267
Dacia,Dokker,0.84,Minivan,0.208999208999209,0.2708333333333333,Diesel,Manual,0.05561122244488978
Hyundai,i30,0.78,Hatchback,0.14499914499914499,0.25,Petrol,Manual,0.045591182364729456
Lexus,CT Series,0.82,Hatchback,0.193999193999194,0.3333333333333333,Hybrid,Automatic,0.09818637274549098
Volvo,XC90,0.74,SUV,0.248999248999249,0.4583333333333333,Diesel,Manual,0.11322645290581163
Hyundai,Getz,0.74,Hatchback,0.141999141999142,0.1875,Petrol,Manual,0.033056112224448896
Mercedes,A Class,0.68,Hatchback,0.25999925999926,0.2708333333333333,Metan/Propan,Automatic,0.045591182364729456
Mercedes,C Class,0.62,Coupe,0.23999923999924,0.4375,Petrol,Manual,0.033056112224448896
Jaguar,Xf,0.82,Sedan,0.11999911999912,0.4166666666666667,Diesel,Automatic,0.1583066132264529
Mercedes,E Class,0.78,Sedan,0.181999181999182,0.3333333333333333,Petrol,Automatic,0.11573146292585171
Skoda,Octavia,0.68,Universal,0.2999992999993,0.375,Petrol,Manual,0.04808617234468938
Opel,Astra,0.74,Universal,0.30999930999931,0.22916666666666666,Diesel,Manual,0.04659318637274549
Skoda,Superb,0.86,Sedan,0.185999185999186,0.2916666666666667,Diesel,Automatic,0.12124248496993988
Volkswagen,Amarok,0.8,Pickup,0.14999914999915,0.375,Diesel,Manual,0.12625250501002003
Mercedes,Vito,0.58,Minivan,0.257999257999258,0.4166666666666667,Diesel,Automatic,0.028046092184368737
Nissan,Qashqai,0.9,Crossover,0.150999150999151,0.2708333333333333,Diesel,Manual,0.13717434869739478
BMW,5 Series,0.94,Sedan,0.045999045999046,0.375,Petrol,Automatic,0.2750501002004008
Renault,Megane,0.78,Universal,0.2571092571092571,0.2708333333333333,Diesel,Manual,0.04808617234468938
Ford,Mondeo,0.9,Sedan,0.166999166999167,0.2708333333333333,Diesel,Manual,0.1281563126252505
Toyota,C-HR,0.94,Crossover,0.113999113999114,0.3333333333333333,Hybrid,Automatic,0.1658316633266533
Nissan,Qashqai,0.92,Crossover,0.1575991575991576,0.2708333333333333,Diesel,Manual,0.11813627254509018
Toyota,Auris,0.86,Universal,0.18999918999919,0.3333333333333333,Hybrid,Automatic,0.08807615230460922
Toyota,C-HR,0.92,Crossover,0.118999118999119,0.3333333333333333,Hybrid,Automatic,0.18627254509018035
