Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Mercedes,A Class,-0.4463164204801411,Hatchback,0.7902622739305444,-0.601963455545718,Metan/Propan,Automatic,-0.49031084162251004
Mercedes,C Class,-0.8604530477090749,Coupe,0.5885000084655587,0.7106980149790967,Petrol,Manual,-0.621760730653697
Jaguar,Xf,0.5200023763873712,Sedan,-0.6220735843243549,0.5466153311634948,Diesel,Automatic,0.6916874011527272
Mercedes,E Class,0.24391129156808203,Sedan,0.003389438617100492,-0.10971540409891246,Petrol,Automatic,0.2452201121890875
Skoda,Octavia,-0.4463164204801411,Universal,1.1937868048605156,0.21844996353229118,Petrol,Manual,-0.4641469548369261
Opel,Astra,-0.03217979325120721,Universal,1.2946679375930084,-0.9301288231769216,Diesel,Manual,-0.47980325656805867
Skoda,Superb,0.7960934612066605,Sedan,0.04374189171009762,-0.43788077173011614,Diesel,Automatic,0.3030118299885702
Volkswagen,Amarok,0.3819568339777266,Pickup,-0.3194301861268765,0.21844996353229118,Diesel,Manual,0.35554975526082716
Mercedes,Vito,-1.136544132528364,Minivan,0.7700860473840458,0.5466153311634948,Diesel,Automatic,-0.674298655925954
Nissan,Qashqai,1.0721845460259498,Crossover,-0.3093420728536272,-0.601963455545718,Diesel,Manual,0.4700824323543473
BMW,5 Series,1.348275630845239,Sedan,-1.3685939665448017,0.21844996353229118,Petrol,Automatic,1.9159261358468591
Renault,Megane,0.24391129156808203,Universal,0.761107626570854,-0.601963455545718,Diesel,Manual,-0.4641469548369261
Ford,Mondeo,1.0721845460259498,Sedan,-0.1479322604816387,-0.601963455545718,Diesel,Manual,0.3755141668642848
Toyota,C-HR,1.348275630845239,Crossover,-0.6826022639638506,-0.10971540409891246,Hybrid,Automatic,0.7705993649116571
Nissan,Qashqai,1.2102300884355943,Crossover,-0.24276052525018196,-0.601963455545718,Diesel,Manual,0.27043831631977083
Toyota,Auris,0.7960934612066605,Universal,0.08409434480309473,-0.10971540409891246,Hybrid,Automatic,-0.04478923531377096
Toyota,C-HR,1.2102300884355943,Crossover,-0.6321616975976042,-0.10971540409891246,Hybrid,Automatic,0.9849541000224656
Peugeot,3008,1.348275630845239,Crossover,-0.3698707524931229,-0.601963455545718,Diesel,Automatic,0.7748023989334377
Renault,Kadjar,1.0721845460259498,Crossover,-0.3174125634722266,-0.601963455545718,Diesel,Automatic,0.4238490581147612
Lexus,NX Series,0.9341390036163051,SUV,-0.3295182994001258,1.0388633826103004,Hybrid,Automatic,1.295978617634227
Volkswagen,Passat,-0.30827087807049647,Sedan,0.34638528990757605,0.21844996353229118,Petrol,Automatic,-0.4272653312958017
Infiniti,Q Series,1.0721845460259498,Crossover,-0.9448932090683319,-0.601963455545718,Diesel,Automatic,0.6697265483889238
Volkswagen,Passat,-0.17022533566085182,Universal,1.3955490703255011,-0.43788077173011614,Metan/Propan,Manual,-0.3590711042924121
Hyundai,Matrix,-0.30827087807049647,Hatchback,1.173610578314017,-0.601963455545718,Diesel,Manual,-0.674298655925954
Honda,Civic,1.2102300884355943,Hatchback,-1.5588759591048296,-0.601963455545718,Petrol,Automatic,0.4080876805330841
Renault,Kadjar,1.0721845460259498,Crossover,-0.4203113188593693,-0.601963455545718,Diesel,Automatic,0.31351941504302155
Skoda,Octavia,0.5200023763873712,Sedan,-0.158020373754888,-0.43788077173011614,Diesel,Automatic,-0.04478923531377096
Skoda,Superb,0.10586574915843741,Sedan,0.417002082820321,0.21844996353229118,Diesel,Automatic,-0.04478923531377096
Toyota,Corolla,-0.30827087807049647,Universal,0.17047885876192834,-0.7660461393613198,Diesel,Automatic,-0.4272653312958017
Volvo,S80,-1.136544132528364,Sedan,0.2121932071468141,1.531111434057106,Petrol,Automatic,-0.56922280538144
Land Rover,Freelander,-1.136544132528364,SUV,0.48761887573306595,0.21844996353229118,Diesel,Manual,-0.700462542711538
BMW,5 Series,1.348275630845239,Sedan,-1.0054218887078277,0.21844996353229118,Diesel,Automatic,2.583157786804523
Volkswagen,Passat,-1.8267718445765873,Universal,0.6931036549958806,-0.10971540409891246,Petrol,Manual,-0.7057163352387636
KIA,Magentis,-0.4463164204801411,Sedan,0.6957568287867452,0.21844996353229118,Metan/Propan,Manual,-0.7067670937442088
Seat,Inca,-1.4126352173476533,Combi,1.1937868048605156,0.054367279716689365,Diesel,Manual,-0.837061148419406
Skoda,Fabia,0.5200023763873712,Minivan,-0.16306443039151264,-1.0942115069925236,Diesel,Manual,-0.4535342939319302
Mitsubishi,Outlander,0.3819568339777266,SUV,0.669204914651553,0.21844996353229118,Petrol,Automatic,0.05082978868173672
Ford,Focus,1.0721845460259498,Universal,-0.11766792066189087,-0.603604282383874,Diesel,Manual,-0.05529682036822235
Renault,Megane,-0.03217979325120721,Universal,0.6389405748318052,-0.601963455545718,Diesel,Manual,-0.6111480697487011
Honda,Civic,-1.2745896749380088,Universal,1.0929056721280228,-0.601963455545718,Petrol,Manual,-0.8002846007288261
Hyundai,Tucson,0.7960934612066605,Crossover,-0.6220735843243549,-2.7350383451485416,Metan/Propan,Automatic,0.271489074825216
Renault,Clio Symbol,-0.17022533566085182,Sedan,0.2959447235413296,-0.7660461393613198,Petrol,Manual,-0.6847011651298608
